id,category,response_text,satisfaction_score,timestamp
1,제품,배송이 빠르고 포장이 꼼꼼했습니다. 매우 만족합니다!,5,2024-01-15 09:30:00
2,서비스,고객센터 응대가 친절했어요. 문의 해결이 빨랐습니다.,5,2024-01-15 10:15:00
3,제품,품질이 기대 이하였습니다. 사진과 달라요.,2,2024-01-15 11:00:00
4,배송,배송 지연이 있었습니다. 예상보다 3일 늦게 도착.,2,2024-01-15 11:45:00
5,서비스,교환 절차가 복잡했습니다. 개선이 필요해요.,3,2024-01-15 13:00:00
6,제품,가격 대비 품질이 좋습니다. 재구매 의향 있어요.,4,2024-01-15 14:30:00
7,제품,색상이 예쁘고 사이즈도 딱 맞아요!,5,2024-01-15 15:00:00
8,배송,새벽배송 너무 좋아요. 신선하게 받았습니다.,5,2024-01-15 16:00:00
9,서비스,반품 처리가 신속했습니다. 감사합니다.,4,2024-01-15 17:00:00
10,제품,설명서가 없어서 사용법을 몰랐어요.,3,2024-01-16 09:00:00
11,배송,택배 기사님이 친절하셨습니다.,5,2024-01-16 09:30:00
12,서비스,앱 사용이 불편합니다. UI 개선 바랍니다.,2,2024-01-16 10:00:00
13,제품,품질 최고입니다. 주변에 추천하고 싶어요.,5,2024-01-16 10:30:00
14,제품,가격이 조금 비싼 것 같아요.,3,2024-01-16 11:00:00
15,배송,포장이 훼손되어 왔습니다. 아쉬워요.,2,2024-01-16 11:30:00
16,서비스,문의 답변이 늦었습니다. 3일이나 걸렸어요.,2,2024-01-16 12:00:00
17,제품,디자인이 세련되고 고급스러워요.,5,2024-01-16 13:00:00
18,제품,소재가 좋고 마감이 깔끔합니다.,4,2024-01-16 13:30:00
19,배송,정확한 시간에 배송됐습니다. 완벽해요!,5,2024-01-16 14:00:00
20,서비스,적립금 사용이 편리했습니다.,4,2024-01-16 14:30:00
21,제품,냄새가 좀 나요. 환기 필요합니다.,3,2024-01-17 09:00:00
22,제품,튼튼하고 오래 쓸 것 같아요.,4,2024-01-17 09:30:00
23,배송,배송 추적이 잘 됩니다. 편리해요.,4,2024-01-17 10:00:00
24,서비스,회원 혜택이 좋아요. 할인 많이 받았습니다.,5,2024-01-17 10:30:00
25,제품,사용해보니 정말 편리합니다. 추천!,5,2024-01-17 11:00:00
26,배송,명절에도 빠른 배송 감사합니다.,5,2024-01-17 11:30:00
27,서비스,챗봇이 답답해요. 상담사 연결이 어려웠습니다.,2,2024-01-17 12:00:00
28,제품,크기가 생각보다 작았어요.,3,2024-01-17 13:00:00
29,제품,선물용으로 샀는데 포장이 예뻐요.,4,2024-01-17 13:30:00
30,배송,부분 배송이 되어서 불편했어요.,3,2024-01-17 14:00:00
31,서비스,이벤트 참여가 쉬웠습니다. 경품 당첨!,5,2024-01-18 09:00:00
32,제품,AS가 잘 되어서 만족합니다.,4,2024-01-18 09:30:00
33,제품,가성비 최고의 제품입니다.,5,2024-01-18 10:00:00
34,배송,안전하게 잘 도착했습니다.,4,2024-01-18 10:30:00
35,서비스,결제 오류가 있었는데 빠르게 해결됐어요.,4,2024-01-18 11:00:00
36,제품,색상이 화면과 달라서 실망했어요.,2,2024-01-18 11:30:00
37,제품,기능이 다양해서 좋습니다.,4,2024-01-18 12:00:00
38,배송,우체국 택배라서 조금 느렸어요.,3,2024-01-18 13:00:00
39,서비스,포인트 적립률이 높아서 좋아요.,4,2024-01-18 13:30:00
40,제품,내구성이 걱정됩니다. 조금 약해 보여요.,3,2024-01-18 14:00:00
41,배송,배송비가 아까워요. 무료배송 기준 낮춰주세요.,3,2024-01-19 09:00:00
42,서비스,리뷰 작성하면 적립금 주는 게 좋아요.,4,2024-01-19 09:30:00
43,제품,설치가 간편했습니다. 30분이면 끝!,5,2024-01-19 10:00:00
44,제품,아이들이 좋아합니다. 재구매할게요.,5,2024-01-19 10:30:00
45,배송,토요일에도 배송되어서 좋았어요.,4,2024-01-19 11:00:00
46,서비스,멤버십 혜택이 다양합니다.,4,2024-01-19 11:30:00
47,제품,전작보다 업그레이드된 느낌이에요.,4,2024-01-19 12:00:00
48,배송,경비실에 맡겨주셔서 편했습니다.,4,2024-01-19 13:00:00
49,서비스,쿠폰 사용이 복잡했어요. 중복 적용 안 됨.,2,2024-01-19 13:30:00
50,제품,가격 인상이 있었네요. 아쉽습니다.,3,2024-01-19 14:00:00





